Andersen Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/,
Brooks Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/,
Hewitt Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-dorms-are-the-quietest-on-campus/,
Reid Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/,
Sulzberger Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-barnard-dorm-should-you-live-in/,
Elliott Hall,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/,
Sulzberger Tower,https://www.columbiaspectator.com/spectrum/2017/03/23/hack-housing-barnard-senior-selection-preview/,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/
600 West 116th Street,https://www.columbiaspectator.com/spectrum/2017/03/08/hack-housing-dorm-and-suite-options-for-barnard-groups-of-1-7/,
616 West 116th Street,https://www.columbiaspectator.com/spectrum/2017/03/08/hack-housing-dorm-and-suite-options-for-barnard-groups-of-1-7/,
620 West 116th Street,https://www.columbiaspectator.com/spectrum/2017/03/23/hack-housing-barnard-senior-selection-preview/,https://www.columbiaspectator.com/spectrum/2017/03/08/hack-housing-how-to-participate-in-the-cubc-housing-exchange/
601 West 110th Street,https://www.columbiaspectator.com/spectrum/2017/03/03/hack-housing-which-dorm-should-you-pick-if-you-want-to-feel-like-youre-living-off-campus/,
Cathedral Gardens,https://www.columbiaspectator.com/spectrum/2017/03/23/hack-housing-barnard-senior-selection-preview/,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/
Plimpton Hall,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/,https://www.columbiaspectator.com/spectrum/2017/03/08/hack-housing-how-to-participate-in-the-cubc-housing-exchange/
47 Claremont,https://www.columbiaspectator.com/spectrum/2017/03/24/hack-housing-which-dorms-are-the-loudest-on-campus/,https://www.columbiaspectator.com/spectrum/2017/03/08/hack-housing-how-to-participate-in-the-cubc-housing-exchange/
600 West 113th Street,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-columbia-dorm-should-you-live-in/,
Broadway Hall,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-dorms-are-the-quietest-on-campus/
Carlton Arms,https://www.columbiaspectator.com/spectrum/2017/03/09/hack-housing-dorm-and-suite-options-for-columbia-groups/,https://www.columbiaspectator.com/spectrum/2017/03/03/hack-housing-which-dorm-should-you-pick-if-you-want-to-feel-like-youre-living-off-campus/
Carman Hall,https://www.columbiaspectator.com/spectrum/2017/03/30/hack-housing-which-dorms-and-floors-have-been-renovated-at-columbia-and-barnard/,https://www.columbiaspectator.com/spectrum/2017/03/24/hack-housing-which-dorms-are-the-loudest-on-campus/
East Campus,https://www.columbiaspectator.com/spectrum/2017/03/31/hack-housing-columbia-senior-selection-preview/,https://www.columbiaspectator.com/spectrum/2017/03/24/hack-housing-which-dorms-are-the-loudest-on-campus/
Furnald Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-dorms-are-the-quietest-on-campus/,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/
Harmony Hall,https://www.columbiaspectator.com/spectrum/2017/03/21/hack-housing-which-dorms-are-the-quietest-on-campus/,https://www.columbiaspectator.com/spectrum/2017/03/03/hack-housing-which-dorm-should-you-pick-if-you-want-to-feel-like-youre-living-off-campus/
Hartley Hall,https://www.columbiaspectator.com/spectrum/2017/03/10/hack-housing-which-dorms-have-ac/,https://www.columbiaspectator.com/spectrum/2017/03/09/hack-housing-dorm-and-suite-options-for-columbia-groups/
Hogan Hall,https://www.columbiaspectator.com/spectrum/2017/03/31/hack-housing-columbia-senior-selection-preview/,
