Dorm,Photographer,Main Image,Other,Other,Other,Other,
Harmony,Natalie Tischler,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/R4YHYMMJEFA2LJFVUZAIJODKLY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/L5N2CH5N55F3DCA7LA4BERDWQA.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CANEIJAUX5EZBBYQRKBZBOANVM.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/T24FALM7X5EF3BWD5ZXI3HIIFE.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/KRA7OT35SJFKHFS7QHHPKULJ5E.jpg,
Hogan,Guglielmo Vedovotto,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CUTGLXRG6RFGRILXFDBHMWE3EM.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/AHXXQA5CKND37BIFKPC6DVL5ZA.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/4PHFEXRHQRATRFHYEMPJE2X6FA.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/RFSQGWLCYFBM3AT7VY7TXEHV5I.jpg,,
Furnald,Guglielmo Vedovotto,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/6JGJ344BQJDIZKMDDUEXHRYPT4.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/CDWTMP4BCJCGVLMXNCNJGCGUPU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/HF2XTLIS2NGTFKJYXZOGN5YI2E.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/ZCTRKPHPDFA6BID2FPQMKKGX6E.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/UC5QXJDA2ZCHDEJYZRIDXCCSQA.jpg,
McBain,Elisabeth McLaughlin,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/U4MR5UO2A5BJXGOTMXL6ZA2RYI.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/BNRETXEELNHGLJEZLEJ7JE7XNY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/OGIPVCKSSRA7RFPVZLITOCEZWY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/X5CFJVVF55BQVAZQSDQ7Q3EKCI.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/2TUPXARSRZAGFME5MHIOXOS7CY.jpg,
Nuss,Elisabeth McLaughlin,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/52QDVVUAVJB6VPQ7HJZD77F2YY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/GQ3DXUGJHJEMBCMPZIHTUNUFZY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/I5MSQRHHSRAMXKJ6F6SA2T35II.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/MHL34FWWZJCMBO5NQEN5TNBEDQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/DVE2KEE2GREAFLC73V2UB6OMKA.jpg,
River,Auden,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/AVJRBOZL2RHUHMWEZFL4IBUJUE.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/RZPPXNN47RGGFBLXIBYG3I4JVU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/UMFVT33JNRAVNBZ6M6U4TUGQLM.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/FGWQQY4H5ZA6PARE2F4CSPKVK4.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CPKCCARBZ5ESRKHJGUYHHRBFXA.jpg,
Ruggles,Kirill Buskirk,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/OR7RADSPTFFMBGSNB455FHGKVQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/XFQRUJQ7A5EUHBONRFNMO4DQ3I.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/WMNQNA6WT5BEZGUXYYSVYGLAIE.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/VAKTWZ2WHZFELKQPUP3C6ZTCFU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/WROC3XIBIBC3XAHBSPVDJO6CXU.jpg,
Schapiro,Aliya Schneider,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/7O2CFNDANZGSXOHSL6H2O2UDPU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/FMLVSVNS4FB5ZO4GMVSQS6HH4U.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/BYILQNXGLZFZTOTW3L54GC3JQQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/LT6TO7TD7JEKNBTAC2XI2DQMLY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/M6VZ7VQ365GTFANSQ6QSVUAKCY.jpg,
Symposium,Eliot Olson,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/R46KC3HAOBHJTIX6ZEPDNSOVYA.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/P5YO5TGAJNCCJJXCUBSEZXE7AI.jpg,,,,
Carleton Arms,Bea,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/W2QZQ3K3DVCTZDYM2J75EDAY5A.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/VHHRJVKQ5ZBEREQ4AEZK24EHVU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/NI75JKJ6XREXVOTHRSUHPKRYUQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CRQOMVXB45CL5HXTLWVXXMJQOY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/LFBYGEDWDBFD5A3IMGDTP5SUMI.jpg,
Watt,Lola Lafia,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/RHHILY5NA5EJHIL6DQFLPBMSAQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/EFN3KBYSNNBY3AK4JNADTFCWFM.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/6476QY64X5BCTI4E5GBIZM63NU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/JAJXO44J35ESTP3DONDTYHBZIY.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/6PLWXOUMT5AZPBWZ5VHMQL2UWE.jpg,
Wien,Lola Lafia,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CYBIXSCDP5FFBFEGSV6AV7AQ6U.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/PL53UFKLWFHQZOEYDWZGKR2SLE.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/JXVMEHTVM5GZ5OESOV3HQQC57A.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/WHT5BUSSL5BEXPCQAYIXYYUSOQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/GITH5WOUHNCJBPRA7FNJ7NAOOU.jpg,
Woodbridge,Eliot Olson,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/HZOJ4YFXDRHEPPLEWBJNV4ZGGA.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/JZ2MROB5JBAJTEELHBTAXDLXMU.jpg,,,,
East Campus,Caroline,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/EFNLDXHRUZGLXLXVPDGKLELKGU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/NSH5VOUV7VD75DFCIMA5PG77XQ.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/ZW7YHPBYMRCUDDTWKI6KC2SQGU.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/PE55ER2SNJBFTEKE4IHE7JE3DM.jpg,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/UOJXERLG6JGUBPTNRWBD7R5JRU.jpg,
